Brand Name,Year,brandspend,branddose,brandclaims,nomchngspend,nomchngdose,nomchngclaims,perchngspend,perchngdose,perchngclaims
Catapres,2016,130620.24,54000.1,942,-6589.1600000000035,-18710.987999999998,-72,-0.05570753787792326,-0.2827992473191412,-0.08381839348079156
Catapres,2017,111692.14,47452.512,787,-6589.1600000000035,-18710.987999999998,-72,-0.05570753787792326,-0.2827992473191412,-0.08381839348079156
Catapres-Tts 1,2013,1275812.68,30349.4,7331,1361527.5799999998,15850.799999999996,3954,1.067184549380713,0.5222772114110985,0.5393534306370209
Catapres-Tts 1,2014,1882243.1,41382.1,9905,1361527.5799999998,15850.799999999996,3954,1.067184549380713,0.5222772114110985,0.5393534306370209
Catapres-Tts 1,2015,2355881.09,47231,11434,1361527.5799999998,15850.799999999996,3954,1.067184549380713,0.5222772114110985,0.5393534306370209
Catapres-Tts 1,2016,2388461.94,44746.6,10814,1361527.5799999998,15850.799999999996,3954,1.067184549380713,0.5222772114110985,0.5393534306370209
Catapres-Tts 1,2017,2637340.26,46200.2,11285,1361527.5799999998,15850.799999999996,3954,1.067184549380713,0.5222772114110985,0.5393534306370209
Catapres-Tts 2,2013,2511330.46,36333.6,8412,1572607.2999999998,6790.4000000000015,1811,0.6262048444233819,0.18689037144681508,0.2152876842605802
Catapres-Tts 2,2014,3342925.25,44247.49,10152,1572607.2999999998,6790.4000000000015,1811,0.6262048444233819,0.18689037144681508,0.2152876842605802
Catapres-Tts 2,2015,3815282.7,45353.001,10498,1572607.2999999998,6790.4000000000015,1811,0.6262048444233819,0.18689037144681508,0.2152876842605802
Catapres-Tts 2,2016,3906851.96,43077,10104,1572607.2999999998,6790.4000000000015,1811,0.6262048444233819,0.18689037144681508,0.2152876842605802
Catapres-Tts 2,2017,4083937.76,43124,10223,1572607.2999999998,6790.4000000000015,1811,0.6262048444233819,0.18689037144681508,0.2152876842605802
Catapres-Tts 3,2013,3631905.79,38711,8688,2790553.34,10689,2805,0.768344087471498,0.27612306579525203,0.3228591160220995
Catapres-Tts 3,2014,4911303.95,46382,10434,2790553.34,10689,2805,0.768344087471498,0.27612306579525203,0.3228591160220995
Catapres-Tts 3,2015,5779580.94,49834,11353,2790553.34,10689,2805,0.768344087471498,0.27612306579525203,0.3228591160220995
