Brand Name,Year,brandspend,branddose,brandclaims,brandbens,nomchngspend,nomchngdose,nomchngclaims,nomchngbens,perchngspend,perchngdose,perchngclaims,perchngbens
Actemra*,2017,86400039.01,151317.7,27279,4701,79625894.02000001,63106.80000000002,23227,4052,11.754382898143431,0.7154081865166325,5.732230997038499,6.243451463790447
Actigall,2013,653386.51,103791,833,169,219482.67999999993,-2237,-105,-9,0.33591553642575195,-0.02155292848127487,-0.12605042016806722,-0.05325443786982249
Actigall,2014,777299.54,117564,860,187,219482.67999999993,-2237,-105,-9,0.33591553642575195,-0.02155292848127487,-0.12605042016806722,-0.05325443786982249
Actigall,2015,835932.32,119153,865,190,219482.67999999993,-2237,-105,-9,0.33591553642575195,-0.02155292848127487,-0.12605042016806722,-0.05325443786982249
Actigall,2016,784865.18,103610,753,157,219482.67999999993,-2237,-105,-9,0.33591553642575195,-0.02155292848127487,-0.12605042016806722,-0.05325443786982249
Actigall,2017,872869.19,101554,728,160,219482.67999999993,-2237,-105,-9,0.33591553642575195,-0.02155292848127487,-0.12605042016806722,-0.05325443786982249
Actimmune,2013,608973.5,175,21,21,21265084.07,2487,389,29,34.919555727794396,14.211428571428572,18.523809523809526,1.380952380952381
Actimmune,2014,18462873.52,4439,543,59,21265084.07,2487,389,29,34.919555727794396,14.211428571428572,18.523809523809526,1.380952380952381
Actimmune,2015,24298651.79,3845.5,505,62,21265084.07,2487,389,29,34.919555727794396,14.211428571428572,18.523809523809526,1.380952380952381
Actimmune,2016,22560662.62,3113.5,452,64,21265084.07,2487,389,29,34.919555727794396,14.211428571428572,18.523809523809526,1.380952380952381
Actimmune,2017,21874057.57,2662,410,50,21265084.07,2487,389,29,34.919555727794396,14.211428571428572,18.523809523809526,1.380952380952381
Actonel,2013,172256361.3,3507298.518,793957,166086,-167423975.25,-3451657.518,-784200,-163858,-0.9719465451752811,-0.9841356532058957,-0.9877109213723161,-0.9865852630564889
Actonel,2014,151127143.7,2477989.463,497822,118998,-167423975.25,-3451657.518,-784200,-163858,-0.9719465451752811,-0.9841356532058957,-0.9877109213723161,-0.9865852630564889
Actonel,2015,45287749.15,797304.377,129808,39646,-167423975.25,-3451657.518,-784200,-163858,-0.9719465451752811,-0.9841356532058957,-0.9877109213723161,-0.9865852630564889
Actonel,2016,8750172.97,112626.5,22130,5951,-167423975.25,-3451657.518,-784200,-163858,-0.9719465451752811,-0.9841356532058957,-0.9877109213723161,-0.9865852630564889
Actonel,2017,4832386.05,55641,9757,2228,-167423975.25,-3451657.518,-784200,-163858,-0.9719465451752811,-0.9841356532058957,-0.9877109213723161,-0.9865852630564889
Actoplus Met,2013,7078323.12,1298708,17841,4935,-6468561.49,-1233877,-17129,-4774,-0.9138550727817014,-0.9500803875852001,-0.960091923098481,-0.9673758865248226
Actoplus Met,2014,1394246.14,212245,2583,921,-6468561.49,-1233877,-17129,-4774,-0.9138550727817014,-0.9500803875852001,-0.960091923098481,-0.9673758865248226
Actoplus Met,2015,924537.31,116352,1351,321,-6468561.49,-1233877,-17129,-4774,-0.9138550727817014,-0.9500803875852001,-0.960091923098481,-0.9673758865248226
Actoplus Met,2016,733373.29,83887,952,216,-6468561.49,-1233877,-17129,-4774,-0.9138550727817014,-0.9500803875852001,-0.960091923098481,-0.9673758865248226
Actoplus Met,2017,609761.63,64831,712,161,-6468561.49,-1233877,-17129,-4774,-0.9138550727817014,-0.9500803875852001,-0.960091923098481,-0.9673758865248226
Actoplus Met XR,2013,2982026.5,420808,5606,1478,-281835.0499999998,-192680,-3051,-861,-0.09451124931317673,-0.457881028877778,-0.5442383160899037,-0.5825439783491204
Actoplus Met XR,2014,2711238.52,313926,4029,1110,-281835.0499999998,-192680,-3051,-861,-0.09451124931317673,-0.457881028877778,-0.5442383160899037,-0.5825439783491204
Actoplus Met XR,2015,2801788.81,270702,3356,878,-281835.0499999998,-192680,-3051,-861,-0.09451124931317673,-0.457881028877778,-0.5442383160899037,-0.5825439783491204
Actoplus Met XR,2016,2754835.69,246672,2976,732,-281835.0499999998,-192680,-3051,-861,-0.09451124931317673,-0.457881028877778,-0.5442383160899037,-0.5825439783491204
Actoplus Met XR,2017,2700191.45,228128,2555,617,-281835.0499999998,-192680,-3051,-861,-0.09451124931317673,-0.457881028877778,-0.5442383160899037,-0.5825439783491204
Actos,2013,34240903.06,3481531.03,86671,25932,-30812728.07,-3285807.03,-82921,-25124,-0.8998807074687006,-0.9437822043481829,-0.95673293258414,-0.9688415856856394
Actos,2014,6975591.33,579784,13226,4097,-30812728.07,-3285807.03,-82921,-25124,-0.8998807074687006,-0.9437822043481829,-0.95673293258414,-0.9688415856856394
Actos,2015,4854885.56,331403,6756,1547,-30812728.07,-3285807.03,-82921,-25124,-0.8998807074687006,-0.9437822043481829,-0.95673293258414,-0.9688415856856394
Actos,2016,3850687.67,240651,4711,1055,-30812728.07,-3285807.03,-82921,-25124,-0.8998807074687006,-0.9437822043481829,-0.95673293258414,-0.9688415856856394
Actos,2017,3428174.99,195724,3750,808,-30812728.07,-3285807.03,-82921,-25124,-0.8998807074687006,-0.9437822043481829,-0.95673293258414,-0.9688415856856394
