Brand Name,Year,brandspend,branddose,brandclaims,avgspendperclaim,nomchngspend,nomchngdose,nomchngclaims,nomchngspendperclaim,perchngspend,perchngdose,perchngclaims
Urso Forte,2014,52500,10196,133,394.7368421052632,58600,3423.7999999999993,101,68.81312002859949,0.8825301204819278,0.2618985695708711,0.6047904191616766
Urso Forte,2015,83400,13072.2,186,448.38709677419354,58600,3423.7999999999993,101,68.81312002859949,0.8825301204819278,0.2618985695708711,0.6047904191616766
Urso Forte,2016,135000,19464.22,344,392.4418604651163,58600,3423.7999999999993,101,68.81312002859949,0.8825301204819278,0.2618985695708711,0.6047904191616766
Urso Forte,2017,125000,16496.8,268,466.4179104477612,58600,3423.7999999999993,101,68.81312002859949,0.8825301204819278,0.2618985695708711,0.6047904191616766
Ursodiol,2013,5439105,6050988.702,85199,63.84000985927065,25367895,3840294.064000001,59844,148.5590717923775,4.663983320785313,0.6346556328440491,0.7024026103592764
Ursodiol,2014,11975120,5830243.319,85890,139.42391430899988,25367895,3840294.064000001,59844,148.5590717923775,4.663983320785313,0.6346556328440491,0.7024026103592764
Ursodiol,2015,30575000,9229360.229,119962,254.87237625247994,25367895,3840294.064000001,59844,148.5590717923775,4.663983320785313,0.6346556328440491,0.7024026103592764
Ursodiol,2016,32494440,9079581.053,133987,242.51934889205668,25367895,3840294.064000001,59844,148.5590717923775,4.663983320785313,0.6346556328440491,0.7024026103592764
Ursodiol,2017,30807000,9891282.766,145043,212.39908165164815,25367895,3840294.064000001,59844,148.5590717923775,4.663983320785313,0.6346556328440491,0.7024026103592764
V-C Forte,2013,211000,623593.003,20347,10.37007912714405,-207120,-616301.003,-19834,-2.806726300633329,-0.981611374407583,-0.9883064755939861,-0.9747874379515408
V-C Forte,2014,134000,409654,13241,10.120081564836493,-207120,-616301.003,-19834,-2.806726300633329,-0.981611374407583,-0.9883064755939861,-0.9747874379515408
V-C Forte,2015,4030,16320,567,7.107583774250441,-207120,-616301.003,-19834,-2.806726300633329,-0.981611374407583,-0.9883064755939861,-0.9747874379515408
V-C Forte,2016,3520,11210,471,7.473460721868365,-207120,-616301.003,-19834,-2.806726300633329,-0.981611374407583,-0.9883064755939861,-0.9747874379515408
V-C Forte,2017,3880,7292,513,7.563352826510721,-207120,-616301.003,-19834,-2.806726300633329,-0.981611374407583,-0.9883064755939861,-0.9747874379515408
Vagifem,2013,1910000,194732.02,17468,109.34279825967484,-910000,-146544.02,-13035,116.23807248248623,-0.47643979057591623,-0.7525419805125012,-0.7462216624685138
Vagifem,2014,3240000,257434.009,23480,137.98977853492335,-910000,-146544.02,-13035,116.23807248248623,-0.47643979057591623,-0.7525419805125012,-0.7462216624685138
Vagifem,2015,5680000,317046.001,29331,193.65176775425317,-910000,-146544.02,-13035,116.23807248248623,-0.47643979057591623,-0.7525419805125012,-0.7462216624685138
Vagifem,2016,6310000,291286,27006,233.65178108568466,-910000,-146544.02,-13035,116.23807248248623,-0.47643979057591623,-0.7525419805125012,-0.7462216624685138
Vagifem,2017,1000000,48188,4433,225.58087074216107,-910000,-146544.02,-13035,116.23807248248623,-0.47643979057591623,-0.7525419805125012,-0.7462216624685138
Valacyclovir,2013,42696740,17103761.034,641517,66.55589797308566,-13380740,17975449.493,708537,-44.84121100500883,-0.313390202624369,1.0509647239146522,1.1044711207964872
Valacyclovir,2014,37055210,21412832.668,814590,45.489399575246445,-13380740,17975449.493,708537,-44.84121100500883,-0.313390202624369,1.0509647239146522,1.1044711207964872
